67,绥化市,"46.65,126.96",黑龙江省
68,安达市,"46.45,125.3",黑龙江省
69,海伦市,"47.46,126.97",黑龙江省
70,肇东市,"46.06,125.98",黑龙江省
71,兰西县,"46.26,126.29",黑龙江省
72,明水县,"47.17,125.91",黑龙江省
73,青冈县,"46.69,126.1",黑龙江省
74,庆安县,"46.88,127.5",黑龙江省
75,绥棱县,"47.24,127.11",黑龙江省
76,望奎县,"46.83,126.48",黑龙江省
77,加格达奇区,"52.5,123.9",黑龙江省
78,漠河市,"52.97,122.54",黑龙江省
79,呼玛县,"51.73,126.65",黑龙江省
80,塔河县,"52.33,124.7",黑龙江省
81,长春市,"43.88,125.31",吉林省
82,公主岭市,"43.5,124.82",吉林省
83,德惠市,"44.53,125.7",吉林省
84,榆树市,"44.82,126.55",吉林省
85,农安县,"44.43,125.18",吉林省
86,吉林市,"43.83,126.55",吉林省
87,蛟河市,"43.72,127.34",吉林省
88,桦甸市,"42.97,126.74",吉林省
89,舒兰市,"44.41,126.96",吉林省
90,磐石市,"42.94,126.06",吉林省
91,永吉县,"43.67,126.5",吉林省
92,四平市,"43.16,124.35",吉林省
93,双辽市,"43.52,123.5",吉林省
94,梨树县,"43.3,124.33",吉林省
95,伊通满族自治县,"43.34,125.3",吉林省
96,辽源市,"42.88,125.14",吉林省
97,东丰县,"42.67,125.53",吉林省
98,东辽县,"42.92,124.99",吉林省
99,通化市,"41.73,125.94",吉林省
100,梅河口市,"42.53,125.68",吉林省
101,集安市,"41.12,126.19",吉林省
102,通化县,"41.68,125.76",吉林省
103,辉南县,"42.68,126.04",吉林省
104,柳河县,"42.28,125.74",吉林省
105,白山市,"41.93,126.42",吉林省
106,临江市,"41.81,126.92",吉林省
107,抚松县,"42.33,127.28",吉林省
108,靖宇县,"42.38,126.81",吉林省
109,长白朝鲜族自治县,"41.41,128.2",吉林省
110,松原市,"45.14,124.82",吉林省
111,扶余市,"44.98,126.05",吉林省
112,长岭县,"44.27,123.96",吉林省
113,乾安县,"45.0,124.03",吉林省
114,前郭尔罗斯蒙古族自治县,"45.11,124.82",吉林省
115,白城市,"41.93,126.42",吉林省
116,洮南市,"45.36,122.79",吉林省
117,大安市,"45.51,124.29",吉林省
118,镇赉县,"45.85,123.2",吉林省
119,通榆县,"44.8,123.09",吉林省
120,延吉市,"42.89,129.5",吉林省
121,图们市,"42.97,129.84",吉林省
122,敦化市,"43.37,128.23",吉林省
123,珲春市,"42.86,130.36",吉林省
124,龙井市,"42.76,129.42",吉林省
125,和龙市,"42.54,129.0",吉林省
126,汪清县,"43.31,129.76",吉林省
127,安图县,"43.11,128.9",吉林省
128,海拉尔区,"49.23,119.82",蒙东地区
129,满洲里市,"49.58,117.43",蒙东地区
130,牙克石市,"49.28,120.73",蒙东地区
131,扎兰屯市,"48.01,122.75",蒙东地区
132,额尔古纳市,"50.24,120.18",蒙东地区
133,根河市,"50.78,121.52",蒙东地区
134,阿荣旗,"48.12,123.45",蒙东地区
135,陈巴尔虎旗,"49.33,119.43",蒙东地区
136,新巴尔虎左旗,"48.22,118.27",蒙东地区
137,新巴尔虎右旗,"48.67,116.82",蒙东地区
138,莫力达瓦达斡尔族自治旗,"48.48,124.51",蒙东地区
139,鄂伦春自治旗,"50.59,123.72",蒙东地区
140,鄂温克族自治旗,"49.15,119.75",蒙东地区
141,乌兰浩特市,"46.07,122.09",蒙东地区
142,阿尔山市,"47.17,119.93",蒙东地区
143,突泉县,"45.38,121.56",蒙东地区
144,科尔沁右翼前旗,"46.08,121.95",蒙东地区
145,科尔沁右翼中旗,"45.06,121.47",蒙东地区
146,扎赉特旗,"46.72,122.89",蒙东地区
147,科尔沁区,"43.65,122.24",蒙东地区
148,霍林郭勒市,"45.53,119.66",蒙东地区
149,开鲁县,"43.6,121.31",蒙东地区
150,科尔沁左翼中旗,"44.12,123.31",蒙东地区
151,科尔沁左翼后旗,"42.96,122.36",蒙东地区
152,库伦旗,"42.73,121.81",蒙东地区
153,奈曼旗,"42.84,120.66",蒙东地区
154,扎鲁特旗,"44.56,120.91",蒙东地区
155,赤峰市,"42.26,118.89",蒙东地区
156,林西县,"43.61,118.06",蒙东地区
157,宁城县,"41.6,119.34",蒙东地区
158,阿鲁科尔沁旗,"43.88,120.09",蒙东地区
159,巴林左旗,"43.98,119.38",蒙东地区
160,巴林右旗,"43.53,118.67",蒙东地区
161,克什克腾旗,"43.26,117.54",蒙东地区
162,翁牛特旗,"42.94,119.02",蒙东地区
163,喀喇沁旗,"41.93,118.7",蒙东地区
164,敖汉旗,"42.29,119.92",蒙东地区
165,沈阳市,"41.79,123.45",辽宁省
166,新民市,"41.98,122.83",辽宁省
167,康平县,"42.5,123.43",辽宁省
168,法库县,"42.5,123.43",辽宁省
169,大连市,"38.92,121.64",辽宁省
170,瓦房店市,"39.62,122.0",辽宁省
171,庄河市,"39.68,122.96",辽宁省
172,长海县,"39.28,122.59",辽宁省
173,鞍山市,"41.10,122.99",辽宁省
174,海城市,"40.85,122.75",辽宁省
175,台安县,"41.38,122.43",辽宁省
176,岫岩满族自治县,"40.29,123.28",辽宁省
177,抚顺市,"41.88,123.96",辽宁省
178,抚顺县,"41.88,123.91",辽宁省
179,新宾满族自治县,"41.73,125.03",辽宁省
180,清原满族自治县,"42.1,124.92",辽宁省
181,本溪市,"41.29,123.77",辽宁省
182,本溪满族自治县,"41.3,124.11",辽宁省
183,桓仁满族自治县,"41.26,125.35",辽宁省
184,丹东市,"40.00,124.35",辽宁省
185,东港市,"39.86,124.15",辽宁省
186,凤城市,"40.45,124.06",辽宁省
187,宽甸满族自治县,"40.73,124.78",辽宁省
188,锦州市,"41.09,121.12",辽宁省
189,凌海市,"41.16,121.35",辽宁省
190,北镇市,"41.6,121.8",辽宁省
191,黑山县,"41.67,122.12",辽宁省
192,义县,"41.53,121.23",辽宁省
193,营口市,"40.66,122.23",辽宁省
194,盖州市,"40.4,122.35",辽宁省
195,大石桥市,"40.63,122.51",辽宁省
196,阜新市,"42.02,121.67",辽宁省
197,阜新蒙古族自治县,"42.06,121.75",辽宁省
198,彰武县,"42.38,122.54",辽宁省
199,辽阳市,"41.26,123.23",辽宁省
200,灯塔市,"41.42,123.33",辽宁省
201,辽阳县,"41.2,123.1",辽宁省
202,盘锦市,"41.12,122.07",辽宁省
203,盘山县,"41.24,121.99",辽宁省
204,铁岭市,"42.22,123.72",辽宁省
205,调兵山市,"42.47,123.55",辽宁省
206,开原市,"42.54,124.03",辽宁省
207,铁岭县,"42.22,123.72",辽宁省
208,西丰县,"42.74,124.72",辽宁省
209,昌图县,"42.78,124.1",辽宁省
210,朝阳市,"41.54,120.45",辽宁省
211,北票市,"41.8,120.77",辽宁省
212,凌源市,"41.24,119.4",辽宁省
213,朝阳县,"41.57,120.45",辽宁省
214,建平县,"41.4,119.64",辽宁省
215,喀喇沁左翼蒙古族自治县,"41.12,119.74",辽宁省
216,葫芦岛市,"40.56,120.38",辽宁省
217,兴城市,"40.61,120.73",辽宁省
218,绥中县,"40.32,120.34",辽宁省
219,建昌县,"40.81,119.8",辽宁省
